,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
0,2023-01-01,2023,1,sun,1900-01-01 07:50:00,con heridos,choque,calle 17 # 7b - 60,1,1,,0,41.42565,1.95125
1,2023-01-01,2023,1,sun,1900-01-01 11:10:00,con heridos,choque,calle 76 carrera 8,1,1,,1,10.95227,-74.82175
2,2023-01-02,2023,2,wed,1900-01-01 15:20:00,con heridos,choque,calle 30 cra 14,1,1,,2,10.9524,-74.78643
3,2023-01-02,2023,2,wed,1900-01-01 15:30:00,con heridos,choque,calle 19 carrera 1,1,1,,3,10.96695,-74.80776
4,2023-01-02,2023,2,wed,1900-01-01 16:00:00,con heridos,choque,calle 51b #5,1,1,,4,5.07258,-75.49061
5,2023-01-02,2023,2,wed,1900-01-01 16:30:00,con heridos,caida ocupante,avenida circunvalar calle 46,1,1,,5,10.98957,-74.78464
6,2023-01-02,2023,2,wed,1900-01-01 17:40:00,con heridos,choque,calle 110 carrera 43,1,1,,6,10.99217,-74.80805
7,2023-01-02,2023,2,wed,1900-01-01 07:00:00,con heridos,choque,calle 35 carrera 29,11,1,,7,10.96841,-74.78327
8,2023-01-02,2023,2,wed,1900-01-01 07:10:00,con heridos,choque,calle 70 carrera 59,1,1,,8,11.00064,-74.79672
9,2023-01-03,2023,3,wed,1900-01-01 14:00:00,con heridos,choque,carrera 46 calle 40,1,1,,9,10.98637,-74.78104
10,2023-01-03,2023,3,wed,1900-01-01 14:25:00,con heridos,atropello,calle 30 carrera 36,1,1,,10,10.97501,-74.7779
11,2023-01-03,2023,3,wed,1900-01-01 16:15:00,con muertos,choque,avenida circunvalar con cra 43,0,1,1,11,10.9913,-74.80678
12,2023-01-03,2023,3,wed,1900-01-01 16:25:00,con heridos,choque,calle 72 carrera 23,1,1,,12,10.97148,-74.81225
13,2023-01-03,2023,3,wed,1900-01-01 16:45:00,con heridos,choque,calle 30 con carrera 30,2,1,,13,10.97636,-74.77736
14,2023-01-03,2023,3,wed,1900-01-01 08:20:00,con heridos,choque,carrera 42f entre calle 75b y 76,1,1,,14,10.99285,-74.81135
15,2023-01-04,2023,4,sat,1900-01-01 15:30:00,con heridos,choque,carrera 9g calle 128,3,1,,15,10.95818,-74.82916
16,2023-01-04,2023,4,sat,1900-01-01 16:00:00,con heridos,choque,calle 116 carrera 42,1,1,,16,10.93127,-74.78654
17,2023-01-04,2023,4,sat,1900-01-01 19:00:00,con heridos,choque,calle 40 #22-50,2,1,,17,42.25757,3.1023
18,2023-01-04,2023,4,sat,1900-01-01 08:00:00,con muertos,atropello,carrera 8b #5-425,0,1,1,18,4.8109,-75.67789
19,2023-01-04,2023,4,sat,1900-01-01 09:00:00,con heridos,atropello,calle 49 carrera 10 sur,1,1,,19,10.95026,-74.79214
20,2023-01-05,2023,5,mon,1900-01-01 13:10:00,con heridos,choque,calle 114 con carrera 34,2,1,,20,10.97902,-74.79671
21,2023-01-05,2023,5,mon,1900-01-01 15:50:00,con heridos,otro,carrera 9g calle 77 - 42,1,1,,21,10.95904,-74.82157
22,2023-01-05,2023,5,mon,1900-01-01 06:23:00,con heridos,volcamiento,calle 45 con carrera 28,1,1,,22,10.92906,-74.78652
23,2023-01-05,2023,5,mon,1900-01-01 20:00:00,con heridos,atropello,calle 30 entre carrera 8 y 6 esquina.,1,1,,23,10.97636,-74.77736
24,2023-01-05,2023,5,mon,1900-01-01 08:15:00,con heridos,choque,calle 110 carrera 55,4,1,,24,10.94465,-74.76272
25,2023-01-06,2023,6,thu,1900-01-01 14:15:00,con muertos,atropello,calle 45 carrera 31,0,1,1,25,10.97317,-74.78897
26,2023-01-06,2023,6,thu,1900-01-01 06:40:00,con heridos,choque,calle 40 carrera 50,1,1,,26,10.98883,-74.78049
27,2023-01-06,2023,6,thu,1900-01-01 08:10:00,con heridos,atropello,calle 84 con carrera 59,1,1,,27,11.01055,-74.81198
28,2023-01-06,2023,6,thu,1900-01-01 08:40:00,con heridos,choque,calle 80 con carrera 71,1,1,,28,11.01563,-74.80545
29,2023-01-06,2023,6,thu,1900-01-01 08:40:00,con heridos,choque,carrera 14 calle 45,2,1,,29,10.95428,-74.79662
30,2023-01-07,2023,7,sat,1900-01-01 05:30:00,con muertos,choque,calle 81 carrera 13,0,1,1,30,10.96439,-74.82143
31,2023-01-07,2023,7,sat,1900-01-01 11:30:00,con heridos,atropello,via 40 # 84-38,1,1,,31,-19.84099,-43.91038
32,2023-01-07,2023,7,sat,1900-01-01 12:10:00,con heridos,choque,carrera 3a calle 53,1,1,,32,10.93959,-74.81282
33,2023-01-08,2023,8,tue,1900-01-01 20:20:00,con heridos,atropello,calle 30 # 8 - 75,3,1,,33,39.52676,-0.48606
34,2023-01-09,2023,9,fri,1900-01-01 15:00:00,con muertos,atropello,calle 30 # 1e-02,0,1,1,34,39.52676,-0.48606
35,2023-01-10,2023,10,sun,1900-01-01 13:15:00,con heridos,choque,calle 45b carrera 22,2,1,,35,10.9645,-74.79262
36,2023-01-10,2023,10,sun,1900-01-01 14:40:00,con heridos,choque,carrera 6k2 con calle 96b,3,1,,36,10.94936,-74.82795
