Latitud,Longitud
4.6321366,-74.0606555
4.6321366,-74.0606555
10.9226828,-74.81463219999999
10.9226828,-74.81463219999999
10.9567055,-74.836117
10.9567055,-74.836117
,
,
4.635676399999999,-74.05987549999999
4.635676399999999,-74.05987549999999
4.6322594,-74.0606153
4.6322594,-74.0606153
10.9254521,-74.8221411
10.9254521,-74.8221411
10.9289256,-74.8295267
10.9774142,-74.8361102
10.9774142,-74.8361102
10.9567055,-74.836117
10.9567055,-74.836117
10.9556367,-74.8060769
10.9556367,-74.8060769
10.9579416,-74.8042954
10.9579416,-74.8042954
4.6866631,-74.0552423
4.6866631,-74.0552423
10.9991489,-74.8369967
10.9991489,-74.8369967
3.4180694,-76.4786242
3.4180694,-76.4786242
6.1985955,-75.5677327
6.1985955,-75.5677327
4.625573,-74.1001928
4.625573,-74.1001928
10.9953478,-74.8066785
10.9953478,-74.8066785
,
4.5814024,-74.0842688
4.5814024,-74.0842688
7.085584,-73.1047574
7.085584,-73.1047574
,
,
,
,
-11.8704028,-77.1182202
-11.8704028,-77.1182202
-11.8704028,-77.1182202
-11.8704028,-77.1182202
-11.8704028,-77.1182202
3.4532655,-76.5237061
3.4532655,-76.5237061
4.6144041,-74.0722541
10.9369506,-74.7818201
10.9369506,-74.7818201
10.9784885,-74.7759899
10.9835482,-74.7758895
10.9835482,-74.7758895
10.9435326,-74.78372610000001
10.9435326,-74.78372610000001
10.9435326,-74.78372610000001
,
,
,
,
,
,
,
,
,
10.0749221,-69.3306547
10.0749221,-69.3306547
18.5005528,-69.9254257
18.5005528,-69.9254257
10.0644995,-69.3357833
10.0644995,-69.3357833
,
10.0652939,-69.336878
10.0652939,-69.336878
,
,
,
,
,
10.9358305,-74.8104499
10.9358305,-74.8104499
10.965823,-74.8016128
10.965823,-74.8016128
4.652489,-74.0809869
4.652489,-74.0809869
4.652489,-74.0809869
,
,
,
10.9848474,-74.8008643
10.9848474,-74.8008643
,
,
10.9986952,-74.7986263
10.9986952,-74.7986263
4.7019383,-74.1145784
4.7019383,-74.1145784
,
4.6891726,-74.0902895
4.6891726,-74.0902895
,
,
10.9790314,-74.821148
4.6674356,-74.0565647
4.6674356,-74.0565647
11.0073463,-74.81603009999999
11.0073463,-74.81603009999999
3.4435691,-76.5342926
3.4435691,-76.5342926
10.9887619,-74.8290903
11.0000375,-74.8219158
11.0000375,-74.8219158
11.0102024,-74.8151565
11.0022158,-74.821114
11.0022158,-74.821114
11.0022158,-74.821114
11.0072921,-74.8182891
11.014703,-74.8173178
11.014703,-74.8173178
11.015294,-74.8179064
11.015294,-74.8179064
11.0119189,-74.8237848
4.68279,-74.06524759999999
4.68279,-74.06524759999999
4.6794961,-74.0505298
4.6794961,-74.0505298
4.684304,-74.0710663
4.684304,-74.0710663
,
,
4.637732,-74.065503
4.637732,-74.065503
4.637732,-74.065503
4.637732,-74.065503
10.9228263,-74.8052475
10.9228263,-74.8052475
,
,
,
,
,
3.4387166,-76.5049979
3.4387166,-76.5049979
,
,
4.6568722,-74.0732153
4.6568722,-74.0732153
5.3238265,-72.3850985
5.3238265,-72.3850985
,
,
10.9968087,-74.8100681
10.957286,-74.891784
10.957286,-74.891784
,
4.649044099999999,-74.0647352
4.649044099999999,-74.0647352
,
10.9870306,-74.8006254
,
,
6.2420439,-75.56720709999999
11.001407,-74.8175621
11.001407,-74.8175621
14.5743127,-90.5629456
14.5743127,-90.5629456
,
,
10.9954437,-74.8069612
10.9954437,-74.8069612
,
,
3.419266,-76.5634227
3.419266,-76.5634227
11.0073936,-74.8207019
,
,
4.6851115,-74.092674
4.6851115,-74.092674
11.0162553,-74.82241189999999
11.0162553,-74.82241189999999
11.0105613,-74.81196349999999
11.0105613,-74.81196349999999
11.0128521,-74.8162237
11.0128521,-74.8162237
,
,
,
40.7780641,-73.9521899
40.7780641,-73.9521899
4.699062,-74.0314635
4.699062,-74.0314635
4.8523729,-74.26171409999999
4.8523729,-74.26171409999999
4.6674356,-74.0565647
4.6674356,-74.0565647
,
,
,
4.6916731,-74.0589694
4.6916731,-74.0589694
7.11931,-73.1214239
7.11931,-73.1214239
,
,
11.0024667,-74.8173095
,
,
,
,
,
10.9906661,-74.7798054
,
,
11.0075194,-74.79030890000001
11.0075194,-74.79030890000001
10.9712404,-74.8108971
10.9712404,-74.8108971
10.9712404,-74.8108971
10.9524434,-74.810017
10.9524434,-74.810017
10.9226828,-74.81463219999999
10.9226828,-74.81463219999999
4.6321366,-74.0606555
4.6321366,-74.0606555
3.4204404,-76.5531427
3.4204404,-76.5531427
3.4204404,-76.5531427
10.9468938,-74.8334301
10.9468938,-74.8334301
4.807990999999999,-75.6832232
4.807990999999999,-75.6832232
10.9468938,-74.8334301
10.9598064,-74.80162279999999
10.9598064,-74.80162279999999
,
,
,
3.4204404,-76.5531427
3.4204404,-76.5531427
10.9567055,-74.836117
10.9567055,-74.836117
4.6321366,-74.0606555
4.6878086,-74.058438
4.6878086,-74.058438
4.6893993,-74.04674779999999
,
,
4.6934904,-74.0441842
4.6934904,-74.0441842
,
,
,
,
,
,
,
,
-11.8704028,-77.1182202
-11.8704028,-77.1182202
-11.8704028,-77.1182202
-11.8704028,-77.1182202
,
,
,
18.5209344,-69.8201816
18.5209344,-69.8201816
4.0880332,-76.2113655
10.9610879,-74.7847396
10.9610879,-74.7847396
10.9788456,-74.7755617
,
,
10.9369506,-74.7818201
10.9369506,-74.7818201
10.9761797,-74.7772688
10.9761797,-74.7772688
10.9908161,-74.8056504
10.9515289,-74.7861925
10.9515289,-74.7861925
3.4435691,-76.5342926
3.4435691,-76.5342926
,
,
,
,
,
,
,
,
4.637732,-74.065503
4.637732,-74.065503
6.2321288,-75.5614018
6.2321288,-75.5614018
,
,
,
,
,
,
,
,
,
,
4.6277716,-74.0768878
4.6270468,-74.070612
4.6270468,-74.070612
6.1985955,-75.5677327
3.4172285,-76.5058506
3.4172285,-76.5058506
,
10.0653771,-69.33584139999999
10.0653771,-69.33584139999999
6.235633,-75.5510706
6.235633,-75.5510706
4.6355833,-74.0740721
4.6355833,-74.0740721
,
,
20.9774261,-89.6328485
20.9774261,-89.6328485
5.073471,-75.4946528
5.073471,-75.4946528
5.073471,-75.4946528
4.6346591,-74.0637705
4.6346591,-74.0637705
4.6346591,-74.0637705
4.6346591,-74.0637705
10.0641211,-69.3407756
10.0641211,-69.3407756
4.6380938,-74.0705056
4.6380938,-74.0705056
4.639971399999999,-74.0756552
4.639971399999999,-74.0756552
10.9426348,-74.80713639999999
10.9872411,-74.7916211
10.9872411,-74.7916211
,
,
20.9901839,-89.6149952
20.9901839,-89.6149952
10.0565093,-69.3512411
10.0565093,-69.3512411
4.6671909,-74.0829502
4.6671909,-74.0829502
4.656008,-74.0656517
4.6462465,-74.1091444
4.6462465,-74.1091444
4.6597153,-74.0705924
4.6597153,-74.0705924
10.9758049,-74.8099314
11.007786,-74.8039051
11.007786,-74.8039051
