,Latitud,Longitud
0,41.42565,1.95125
1,10.95227,-74.82175
2,10.9524,-74.78643
3,10.96695,-74.80776
4,5.07258,-75.49061
5,10.98957,-74.78464
6,10.99217,-74.80805
7,10.96841,-74.78327
8,11.00064,-74.79672
9,10.98637,-74.78104
10,10.97501,-74.7779
11,10.9913,-74.80678
12,10.97148,-74.81225
13,10.97636,-74.77736
14,10.99285,-74.81135
15,10.95818,-74.82916
16,10.93127,-74.78654
17,42.25757,3.1023
18,4.8109,-75.67789
19,10.95026,-74.79214
20,10.97902,-74.79671
21,10.95904,-74.82157
22,10.92906,-74.78652
23,10.97636,-74.77736
24,10.94465,-74.76272
25,10.97317,-74.78897
26,10.98883,-74.78049
27,11.01055,-74.81198
28,11.01563,-74.80545
29,10.95428,-74.79662
30,10.96439,-74.82143
31,-19.84099,-43.91038
32,10.93959,-74.81282
33,39.52676,-0.48606
34,39.52676,-0.48606
35,10.9645,-74.79262
36,10.94936,-74.82795
37,10.97618,-74.77698
38,36.4777,-5.00585
39,10.93228,-74.78201
40,10.97687,-74.84657
41,4.73508,-74.05796
42,10.9797,-74.84663
43,10.95289,-74.79622
44,10.9436,-74.83637
45,39.52676,-0.48606
46,4.65039,-74.14255
47,10.96713,-74.83437
48,11.0025,-74.78421
49,10.96084,-74.77717
50,10.97902,-74.79671
51,10.94253,-74.80709
52,10.93753,-74.77503
53,10.9395,-74.80912
54,10.97956,-74.77742
55,10.94406,-74.82764
56,10.83383,-74.76283
57,10.95386,-74.76737
58,10.97533,-74.77527
59,10.93895,-74.8008
60,10.9955,-74.80776
61,10.96416,-74.82263
62,10.94364,-74.80207
63,11.01191,-74.8108
64,11.013,-74.83406
65,10.96488,-74.79674
66,10.99647,-74.81582
67,10.97347,-74.7937
68,10.98435,-74.8071
69,10.99521,-74.80931
70,10.9876,-74.79977
71,10.96561,-74.84264
72,11.00955,-74.83179
73,10.97142,-74.82279
74,10.93569,-74.77582
75,10.94728,-74.8005
76,10.93676,-74.7799
77,11.01523,-74.81792
78,10.94672,-74.77565
79,10.97634,-74.7769
80,10.98543,-74.81113
81,11.01406,-74.81769
82,10.94723,-74.80611
83,11.00989,-74.82337
84,10.93817,-74.79741
85,11.00163,-74.81898
86,10.97687,-74.84657
87,10.92906,-74.78652
88,10.98007,-74.83589
89,11.03932,-74.82438
90,10.97634,-74.7769
91,10.97825,-74.83704
92,10.95264,-74.76467
93,10.97636,-74.77736
94,11.01198,-74.83206
95,10.94819,-74.78521
96,10.94176,-74.7781
97,10.945,-74.77636
98,10.93203,-74.78612
99,10.94989,-74.78936
100,10.96263,-74.82061
101,7.06972,-73.83227
102,10.98162,-74.79686
103,10.97442,-74.83979
104,10.95522,-74.78653
105,10.92906,-74.78652
106,11.02847,-74.80418
107,10.99354,-74.82177
108,10.96206,-74.77085
109,10.99274,-74.78557
110,11.00626,-74.80091
111,10.99217,-74.80805
112,10.93415,-74.78711
113,10.97257,-74.7817
114,10.95883,-74.79148
115,10.99341,-74.8102
116,10.9764,-74.77743
117,10.9465,-74.78472
118,10.98809,-74.77902
119,10.97978,-74.78824
120,10.96688,-74.78389
121,10.98195,-74.83234
122,10.98507,-74.80977
123,11.01406,-74.81769
124,10.97634,-74.7769
125,10.93628,-74.83451
126,10.93835,-74.80019
127,11.03705,-74.81689
128,11.01118,-74.83493
129,10.98767,-74.78966
130,10.95082,-74.77567
131,10.96635,-74.79287
132,10.93589,-74.80343
133,10.95565,-74.80059
134,-19.84099,-43.91038
135,11.00749,-74.79698
136,10.96669,-74.83535
137,10.96442,-74.78617
138,10.9645,-74.79262
139,10.9397,-74.78552
140,10.97082,-74.79845
141,11.00738,-74.82069
142,10.9878,-74.78721
143,10.94429,-74.80727
144,11.01225,-74.82209
145,10.96059,-74.80427
146,10.93628,-74.83451
147,11.00449,-74.78754
148,10.97286,-74.83714
149,10.93738,-74.82492
150,11.00704,-74.81992
151,11.01733,-74.8191
152,10.98245,-74.81084
153,32.61292,-115.45929
154,10.99777,-74.82327
155,10.98414,-74.81751
156,10.97634,-74.7769
157,10.97286,-74.83714
158,10.97286,-74.83714
159,10.96835,-74.83805
160,10.99217,-74.80805
161,10.96583,-74.8016
162,10.97783,-74.80153
163,10.97442,-74.83979
164,10.97426,-74.83621
165,11.00008,-74.80003
166,10.96221,-74.80741
167,10.95856,-74.82362
168,7.89434,-72.53368
169,10.95865,-74.82257
170,10.92906,-74.78652
171,3.53467,-76.27848
172,10.93843,-74.82408
173,11.01457,-74.80407
174,10.9792,-74.83829
175,10.93247,-74.81706
176,11.00566,-74.82159
177,10.94405,-74.76782
178,10.98262,-74.7651
179,11.01474,-74.79645
180,11.00648,-74.78962
181,10.9675,-74.80155
182,10.98294,-74.80223
183,10.94938,-74.77577
184,10.99178,-74.79115
185,10.98041,-74.80688
186,10.93225,-74.782
187,10.94764,-74.77789
188,10.99074,-74.7906
189,11.01551,-74.81134
190,11.00702,-74.81271
191,10.97634,-74.7769
192,-19.84099,-43.91038
193,11.00304,-74.82077
194,10.93589,-74.80343
195,10.96835,-74.83805
196,11.00888,-74.81608
197,11.00044,-74.80817
198,10.98359,-74.77534
199,10.95695,-74.79913
200,10.95161,-74.83444
201,39.52621,-0.49234
202,3.40312,-76.51162
203,10.96872,-74.80798
204,10.93946,-74.78734
205,10.96575,-74.84277
206,10.97902,-74.79671
207,10.96221,-74.80741
208,10.96411,-74.78811
209,10.97701,-74.79369
210,11.02512,-74.8024
211,10.93228,-74.78201
212,10.99715,-74.79691
213,10.95872,-74.80327
214,10.99824,-74.79195
215,10.95128,-74.83437
216,10.9594,-74.78611
217,10.92906,-74.78652
218,10.99979,-74.80846
219,10.99616,-74.79801
220,10.9878,-74.78721
221,11.0053,-74.79907
222,10.96221,-74.80741
223,10.99754,-74.83049
224,10.96425,-74.79626
225,10.97634,-74.7769
226,11.00064,-74.79672
227,10.9687,-74.80733
228,10.97636,-74.77736
229,10.97902,-74.79671
230,11.03911,-74.82661
231,10.95623,-74.82941
232,11.0047,-74.82688
233,11.03167,-74.865
234,10.99712,-74.81545
235,10.83383,-74.76283
236,10.95798,-74.80265
237,10.98618,-74.7919
238,10.98455,-74.81198
239,10.97129,-74.82874
240,-19.84099,-43.91038
241,10.94331,-74.77708
242,10.96221,-74.80741
243,10.9943,-74.80551
244,10.97085,-74.83623
245,10.99847,-74.81465
246,10.99119,-74.79847
247,11.02999,-74.86921
248,10.94609,-74.79609
249,10.97286,-74.83714
250,10.96068,-74.83956
251,10.97902,-74.79671
252,10.97831,-74.83616
253,10.97636,-74.77736
254,10.95308,-74.8195
255,10.94754,-74.77531
256,11.0174,-74.83764
257,10.96994,-74.79917
258,10.97956,-74.77742
259,10.95155,-74.79348
260,10.99761,-74.81799
261,10.9876,-74.79977
262,10.99759,-74.80814
263,10.96785,-74.78987
264,10.98854,-74.80696
265,10.98693,-74.79441
266,10.99606,-74.81048
267,10.97086,-74.83167
268,10.93486,-74.82976
269,10.97634,-74.7769
270,11.00232,-74.82107
271,10.93233,-74.78199
272,10.94429,-74.80727
273,10.96456,-74.78375
274,10.95627,-74.78958
275,30.73479,-112.15386
276,10.93231,-74.782
277,10.95328,-74.78035
278,11.00927,-74.81328
279,10.98332,-74.77992
280,10.98533,-74.78883
281,10.96144,-74.79821
282,10.9331,-74.83351
283,10.9696,-74.79509
284,10.94774,-74.83336
285,10.94719,-74.83345
286,10.92906,-74.78652
287,19.13155,-96.12153
288,10.95397,-74.79591
289,11.01191,-74.8108
290,10.96718,-74.79253
291,10.96446,-74.8385
292,10.97763,-74.7856
293,10.94662,-74.8102
294,10.96109,-74.77964
295,10.96718,-74.79253
296,10.99347,-74.82008
297,10.94922,-74.79995
298,10.99611,-74.80886
299,10.99389,-74.803
300,10.93882,-74.80414
301,10.97505,-74.80213
302,10.99983,-74.81386
303,10.96686,-74.80109
304,11.00128,-74.78424
305,10.9518,-74.81081
306,10.98121,-74.79263
307,11.0187,-74.81792
308,10.97646,-74.83067
309,10.95308,-74.8195
310,10.96777,-74.84187
311,10.9606,-74.77486
312,11.01278,-74.81867
313,10.99039,-74.80488
314,10.96598,-74.78989
315,11.01191,-74.8108
316,10.9476,-74.77325
317,10.83387,-74.76337
318,10.96221,-74.80741
319,10.96068,-74.83956
320,10.83387,-74.76337
321,11.00129,-74.80465
322,21.04515,-89.64057
323,10.95856,-74.82362
324,10.94703,-74.77588
325,11.00104,-74.78787
326,10.9983,-74.80778
327,18.92563,-99.18881
328,10.97634,-74.7769
329,10.93572,-74.7881
330,10.9363,-74.8178
331,10.97103,-74.82719
332,10.97634,-74.7769
333,11.03934,-74.82539
334,10.92906,-74.78652
335,39.52676,-0.48606
336,10.994,-74.81571
337,11.02339,-74.80155
338,10.96695,-74.80776
339,10.9826,-74.83047
340,10.95208,-74.7902
341,10.96803,-74.78622
342,10.97286,-74.83714
343,11.00493,-74.81988
344,10.99649,-74.78852
345,11.03075,-74.86741
346,10.96221,-74.80741
347,11.00894,-74.79088
348,10.93293,-74.80406
349,3.43293,-76.51923
350,10.99537,-74.81215
351,10.97446,-74.78655
352,10.93231,-74.782
353,11.00449,-74.78754
354,11.00255,-74.78974
355,10.95856,-74.82362
356,11.00616,-74.80714
357,10.99217,-74.80805
358,10.99156,-74.78576
359,10.97462,-74.79226
360,10.97687,-74.84657
361,4.67298,-74.04541
362,10.99217,-74.80805
363,10.98215,-74.78272
364,10.98335,-74.80343
365,10.98932,-74.82066
366,10.99475,-74.82681
367,39.52676,-0.48606
368,11.00648,-74.78962
369,10.98417,-74.82387
370,10.98934,-74.80301
371,10.94546,-74.76802
372,10.98515,-74.788
373,10.97908,-74.79612
374,10.95308,-74.8195
375,10.99905,-74.79552
376,10.97257,-74.7817
377,10.95206,-74.7874
378,10.93262,-74.80295
379,10.98133,-74.83769
380,10.96715,-74.7995
381,10.96212,-74.77974
382,10.9354,-74.80724
383,11.00044,-74.80817
384,10.97705,-74.83237
385,10.98417,-74.82387
386,21.27991,-89.67768
387,11.00944,-74.81149
388,11.01624,-74.82239
389,10.99487,-74.80132
390,10.96939,-74.77435
391,10.94541,-74.82411
392,10.96217,-74.79679
393,4.64851,-74.0877
394,11.01489,-74.81856
395,10.93203,-74.78043
396,10.96766,-74.78654
397,10.97634,-74.7769
398,10.97636,-74.77736
399,10.99255,-74.80656
400,10.96473,-74.78686
401,10.9877,-74.81692
402,10.96335,-74.78345
403,10.97607,-74.81178
404,10.99772,-74.81513
405,11.01733,-74.8191
406,11.00304,-74.82077
407,11.00591,-74.78898
408,10.99487,-74.80132
409,-36.58836,-56.68731
410,10.94662,-74.8102
411,10.97495,-74.82449
412,10.93228,-74.78201
413,11.00591,-74.78898
414,10.9968,-74.81005
415,10.93516,-74.82619
416,10.92906,-74.78652
417,39.52676,-0.48606
418,10.97793,-74.82697
419,10.99657,-74.78934
420,10.95446,-74.81787
421,10.95981,-74.79679
422,36.4777,-5.00585
423,11.01523,-74.81792
424,11.00591,-74.78898
425,10.98223,-74.81228
426,10.93235,-74.78198
427,11.01997,-74.8215
428,10.9997,-74.80677
429,10.94429,-74.80727
430,11.01686,-74.82185
431,10.98455,-74.78563
432,10.99128,-74.82262
433,11.00002,-74.82192
434,10.93631,-74.82254
435,10.97634,-74.7769
436,10.94473,-74.81402
437,10.96609,-74.80816
438,10.98435,-74.8071
439,11.01562,-74.82059
440,11.00738,-74.82069
441,10.97851,-74.77604
442,10.93941,-74.82134
443,11.01317,-74.79379
444,10.99761,-74.81799
445,10.98223,-74.81228
446,10.97634,-74.7769
447,10.98417,-74.82387
448,10.96217,-74.78716
449,10.94429,-74.80727
450,10.9798,-74.78698
451,10.92813,-74.79613
452,10.96221,-74.80741
453,6.23256,-75.52903
454,10.97763,-74.78064
455,10.96535,-74.84249
456,11.03934,-74.82539
457,10.97269,-74.81058
458,39.52676,-0.48606
459,18.87298,-96.92417
460,10.97634,-74.7769
461,10.97634,-74.7769
462,10.93624,-74.77733
463,10.98687,-74.82
464,10.98293,-74.78612
465,10.99684,-74.8085
466,10.97634,-74.7769
467,10.93949,-74.82479
468,10.977,-74.80575
469,10.93486,-74.78429
470,21.27991,-89.67768
471,10.96608,-74.8035
472,10.99503,-74.82571
473,10.9821,-74.79548
474,10.95128,-74.83437
475,10.9902,-74.8027
476,10.97705,-74.83237
477,10.95208,-74.7902
478,11.004,-74.79715
479,10.97636,-74.77736
480,10.979,-74.80383
481,11.00143,-74.82138
482,11.01156,-74.80816
483,10.9763,-74.84577
484,10.95785,-74.82922
485,11.0224,-74.80788
486,19.8424,-90.53743
487,10.96995,-74.80361
488,10.99006,-74.80798
489,10.99983,-74.81386
490,10.95977,-74.80708
491,11.00044,-74.78852
492,10.95386,-74.76737
493,41.42565,1.95125
494,10.95308,-74.8195
495,10.97579,-74.81019
496,20.9721,-89.6297
497,10.96066,-74.79067
498,10.97277,-74.80226
499,39.60807,-0.56072
500,11.03934,-74.82539
501,10.9594,-74.78611
502,10.96856,-74.84244
503,11.01692,-74.8051
504,10.97645,-74.77756
505,10.98253,-74.79231
506,10.95287,-74.79318
507,11.00648,-74.78962
508,11.02512,-74.8024
509,10.94082,-74.77816
510,10.96546,-74.8333
511,10.99066,-74.77966
512,10.96914,-74.83786
513,10.96196,-74.83948
514,10.93418,-74.7867
515,10.97264,-74.77475
516,10.97634,-74.7769
517,10.95973,-74.78806
518,10.96221,-74.80741
519,10.98853,-74.80152
520,10.84411,-74.7734
521,10.94593,-74.79412
522,10.96221,-74.80741
523,10.98961,-74.79664
524,4.57761,-74.1627
525,10.97989,-74.7884
526,10.96949,-74.7986
527,10.94835,-74.82179
528,4.64851,-74.0877
529,11.00454,-74.79084
530,10.92713,-74.7917
531,10.98293,-74.78612
532,11.00309,-74.81842
533,11.0145,-74.80923
534,11.00057,-74.81636
535,10.94649,-74.76666
536,10.94429,-74.80727
537,10.93325,-74.8034
538,11.00389,-74.81273
539,10.99829,-74.80247
540,21.27991,-89.67768
541,10.98905,-74.7691
542,10.97645,-74.77756
543,10.95236,-74.80708
544,10.97146,-74.83178
545,10.9594,-74.78611
546,10.97597,-74.8054
547,10.98396,-74.82461
548,10.99988,-74.81708
549,9.26379,-74.78063
550,10.97636,-74.77736
551,10.98354,-74.80409
552,10.97636,-74.77736
553,10.96695,-74.80776
554,10.9604,-74.84177
555,10.94429,-74.80727
556,10.94147,-74.79807
557,10.95295,-74.80424
558,10.97687,-74.84657
559,11.00535,-74.78932
560,10.93809,-74.77477
561,10.95074,-74.81466
562,10.99777,-74.82327
563,10.9902,-74.8027
564,11.01223,-74.81359
565,11.01804,-74.81571
566,10.97426,-74.83621
567,10.97634,-74.7769
568,10.98805,-74.8208
569,10.96567,-74.80381
570,10.96822,-74.80026
571,10.96835,-74.83805
572,10.98071,-74.78469
573,5.57351,-73.33346
574,10.93228,-74.78201
575,10.99217,-74.80805
576,10.96007,-74.79924
577,10.93931,-74.7743
578,10.97675,-74.84664
579,10.9606,-74.77486
580,11.01653,-74.85942
581,10.95097,-74.79122
582,10.96221,-74.80741
583,11.0153,-74.79455
584,10.98934,-74.80301
585,10.93401,-74.82351
586,10.95227,-74.82175
587,11.01015,-74.81511
588,20.91949,-89.57867
589,10.99082,-74.80359
590,4.72568,-74.05727
591,10.97835,-74.80587
592,10.95477,-74.79322
593,10.98979,-74.7792
594,10.97808,-74.77897
595,10.98683,-74.79835
596,10.97993,-74.84393
597,11.01055,-74.81198
598,10.93231,-74.782
599,10.97795,-74.83647
600,11.00002,-74.82192
601,11.01523,-74.81792
602,10.98859,-74.79912
603,10.84717,-74.7823
604,10.94691,-74.83343
605,10.94835,-74.82179
606,11.00792,-74.83413
607,10.9979,-74.796
608,10.94619,-74.80052
609,10.96221,-74.80741
610,10.97634,-74.7769
611,11.02877,-74.8062
612,7.89539,-72.51276
613,10.96856,-74.84244
614,10.93228,-74.78201
615,10.94767,-74.81234
616,10.93968,-74.78276
617,10.94662,-74.8102
618,10.9806,-74.7823
619,10.95056,-74.82169
620,10.93949,-74.82408
621,10.97604,-74.80709
622,11.00875,-74.81398
623,10.97924,-74.77928
624,10.95308,-74.8195
625,10.97085,-74.83623
626,10.99157,-74.81012
627,3.41868,-76.4855
628,10.97831,-74.83616
629,10.98121,-74.79263
630,10.97908,-74.79612
631,10.92813,-74.79613
632,11.00401,-74.828
633,10.97286,-74.83714
634,10.96253,-74.7846
635,10.98416,-74.78376
636,10.97705,-74.83237
637,10.93415,-74.78711
638,10.97492,-74.8077
639,10.97114,-74.78164
640,10.95308,-74.8195
641,10.92906,-74.78652
642,10.99039,-74.80488
643,10.9798,-74.78698
644,10.97634,-74.7769
645,10.96002,-74.78894
646,19.13525,-96.12177
647,10.95517,-74.8053
648,10.98998,-74.81828
649,10.97154,-74.83706
